id,rev,revtype,addedon,updatedon,bankname,brand,countrycode,endbin,scheme,startbin,subbrand,subtype,type,adminid,bin
258e8a59-730e-434a-a7be-f936787527e6,1009,0,2022-03-04T15:59:45.399524,2022-03-04T15:59:45.399,,VISA PLATINUM,IN,44766489999999999999,visa,44766489600000000000,,R,credit,203,
513d6b07-2946-40f1-8e93-e0f4e9ada1bf,1009,0,2022-03-04T15:59:44.999014,2022-03-04T15:59:44.999,,VISA BUSINESS,IN,44441602099999999999,visa,44441601800000000000,,R,credit,203,
a35a194b-9528-43ca-aa47-a20b48fbe05e,1011,0,2022-03-04T15:59:49.329542,2022-03-04T15:59:49.329,THE FEDERAL BANK LTD,VISA BUSINESS ENHANCED,IN,45747422899999999999,visa,45747410000000000000,,R,debit,203,
b19e1354-0617-4555-baea-636e1e146c24,1004,0,2022-03-04T15:59:40.05925,2022-03-04T15:59:40.059,,VISA CLASSIC,IN,40615619999999999999,visa,40615600000000000000,,R,debit,203,
b1e43d93-19b6-4736-9bde-94fbfc55244f,1008,0,2022-03-04T15:59:43.664357,2022-03-04T15:59:43.664,THE HONGKONG AND SHANGHAI BANK,VISA GOLD,IN,43845900099999999999,visa,43845900000000000000,,R,credit,203,
0cdad934-f871-4ce5-841e-740a1c6f59d6,1010,0,2022-03-04T15:59:46.25255,2022-03-04T15:59:46.252,,CORPORATE T&E,IN,44933107199999999999,visa,44933106800000000000,,R,credit,203,
5078b7f4-74ec-4171-86ae-5361c0c2f989,1015,0,2022-03-04T15:59:55.717766,2022-03-04T15:59:55.717,THE FEDERAL BANK LTD,VISA GOLD,IN,48476221799999999999,visa,48476210000000000000,,R,debit,203,
56e178c0-3b08-4a45-ba30-52ba51f24f8f,1010,0,2022-03-04T15:59:46.333602,2022-03-04T15:59:46.333,THE FEDERAL BANK LTD,VISA GOLD,IN,45047800399999999999,visa,45047800300000000000,,R,debit,203,
62490957-9901-46af-ab3d-03809eab5888,1004,0,2022-03-04T15:59:39.703333,2022-03-04T15:59:39.703,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483424699999999999,visa,40483400100000000000,,R,debit,203,
86bd0010-ff10-49be-b096-ecfa03992adc,1014,0,2022-03-04T15:59:54.267754,2022-03-04T15:59:54.267,,VISA PLATINUM,IN,47235759999999999999,visa,47235740000000000000,,R,debit,203,
8a2bf3e5-c644-4e20-bf61-04091f1b39e6,1009,0,2022-03-04T15:59:44.793532,2022-03-04T15:59:44.793,,VISA PLATINUM,IN,44320935499999999999,visa,44320935400000000000,,R,credit,203,
0130a589-f2d3-4cbd-b7e9-d86a714bdec2,1016,0,2022-03-04T15:59:57.634122,2022-03-04T15:59:57.634,Bank of Baroda,VISA CLASSIC,IN,49870110999999999999,visa,49870100000000000000,,R,prepaid,203,
099fc004-6024-4067-8562-350bf297e302,1003,0,2022-03-04T15:59:39.412597,2022-03-04T15:59:39.412,BANK OF BARODA,VISA CLASSIC,IN,40298504999999999999,visa,40298504000000000000,,R,debit,203,
4e04c667-2c06-43dd-ab7e-5db11988f68b,1008,0,2022-03-04T15:59:44.43403,2022-03-04T15:59:44.434,,VISA PLATINUM,IN,44265522199999999999,visa,44265513400000000000,,R,debit,203,
5280b4bb-2acc-4f63-b3bd-79415fec3a69,1008,0,2022-03-04T15:59:43.582298,2022-03-04T15:59:43.582,STATE BANK OF INDIA,VISA PLATINUM,IN,43774865599999999999,visa,43774800000000000000,,R,credit,203,
68efba70-f380-46e7-8f53-30c8d5f91aae,1014,0,2022-03-04T15:59:54.206033,2022-03-04T15:59:54.206,,VISA SIGNATURE,IN,47233949999999999999,visa,47233900000000000000,,R,debit,203,
ae120367-cf46-4d01-9acc-4d06de1b2166,1012,0,2022-03-04T15:59:50.449327,2022-03-04T15:59:50.449,ORIENTAL BANK OF COMMERCE,VISA GOLD,IN,45918190999999999999,visa,45918100000000000000,,R,debit,203,
cda01543-ebe8-4472-8918-8422f0124ad4,1003,0,2022-03-04T15:59:39.419632,2022-03-04T15:59:39.419,BANK OF BARODA,ELECTRON,IN,40298505999999999999,visa,40298505000000000000,,R,debit,203,
e466043a-3f3d-4c1d-a597-8757914049af,1880,1,2022-03-04T15:59:39.879316,2022-04-25T08:14:11.125,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483489999999999999,visa,40483480000000000000,,R,debit,203,
1238d1c8-7e7c-4526-9dbc-f1753c2420f4,1010,0,2022-03-04T15:59:46.12278,2022-03-04T15:59:46.122,,VISA PLATINUM,IN,44896709999999999999,visa,44896709500000000000,,R,credit,203,
56101cd3-b115-4fcf-98ba-54a8a3da6e3a,1011,0,2022-03-04T15:59:49.26522,2022-03-04T15:59:49.265,INDUSIND Bank,CORPORATE T&E,IN,45746729999999999999,visa,45746700000000000000,,R,prepaid,203,
8387d0ba-d9cd-4b58-b4af-529736ca03b1,1009,0,2022-03-04T15:59:45.433997,2022-03-04T15:59:45.434,THE HONGKONG AND SHANGHAI BANK,VISA CLASSIC,IN,44769200099999999999,visa,44769200000000000000,,R,credit,203,
9f505eaa-c976-4e84-99d0-689486104053,1008,0,2022-03-04T15:59:44.344197,2022-03-04T15:59:44.344,,VISA CLASSIC,IN,44207029399999999999,visa,44207000800000000000,,R,credit,203,
e77d463d-6275-4a9f-a4c9-7c828743a26e,1004,0,2022-03-04T15:59:39.851234,2022-03-04T15:59:39.851,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483453999999999999,visa,40483451100000000000,,R,debit,203,
a321501e-173e-454a-8aad-1dac7197272f,1874,1,2022-03-04T15:59:39.833382,2022-04-25T08:09:46.75,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483448999999999999,visa,40483448000000000000,,R,debit,203,
e77d463d-6275-4a9f-a4c9-7c828743a26e,1877,1,2022-03-04T15:59:39.851234,2022-04-25T08:12:08.385,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483459999999999999,visa,40483451100000000000,,R,debit,203,
e77d463d-6275-4a9f-a4c9-7c828743a26e,1878,1,2022-03-04T15:59:39.851234,2022-04-25T08:12:56.112,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483469999999999999,visa,40483451100000000000,,R,debit,203,
5d1fcb83-ac7e-4df6-95a4-7fd7582b997e,1010,0,2022-03-04T15:59:46.597558,2022-03-04T15:59:46.597,,VISA PLATINUM,IN,45137006399999999999,visa,45137006000000000000,,R,credit,203,
6fe267fb-c276-4597-a52d-42805e066c70,1014,0,2022-03-04T15:59:54.282849,2022-03-04T15:59:54.283,,VISA SIGNATURE,IN,47235799999999999999,visa,47235760000000000000,,R,debit,203,
763a4c7e-861e-4b37-aa3b-7e9b281fbff9,1014,0,2022-03-04T15:59:54.237393,2022-03-04T15:59:54.237,,VISA CLASSIC,IN,47235719999999999999,visa,47235700000000000000,,R,debit,203,
a8477d3c-33c8-4e52-b9f2-23f2dec474d8,1010,0,2022-03-04T15:59:46.358129,2022-03-04T15:59:46.358,THE FEDERAL BANK LTD,VISA GOLD,IN,45047802099999999999,visa,45047802000000000000,,R,debit,203,
b86b0ad2-b9c5-4d60-a85e-3a326c49a952,1013,0,2022-03-04T15:59:51.210573,2022-03-04T15:59:51.21,THE FEDERAL BANK LTD,VISA BUSINESS,IN,46113467099999999999,visa,46113465000000000000,,R,debit,203,
d22257e5-453b-4134-9ee6-01ca96283755,1006,0,2022-03-04T15:59:41.459584,2022-03-04T15:59:41.459,ICICI BANK,VISA PURCHASING,IN,42058039999999999999,visa,42058000000000000000,,C,credit,203,
f08ec7a6-6ea5-41c5-9e95-77fdb2ea7dc5,1005,0,2022-03-04T15:59:40.69666,2022-03-04T15:59:40.696,STANDARD CHARTERED BANK,VISA GOLD,IN,41290545099999999999,visa,41290500000000000000,,R,credit,203,
32de4c53-ad81-49cb-9856-5fa760e6fccd,1010,0,2022-03-04T15:59:46.226674,2022-03-04T15:59:46.226,,CORPORATE T&E,IN,44927137199999999999,visa,44927136600000000000,,R,credit,203,
c6c35147-cc0b-4c78-9af1-59916f5ad015,1010,0,2022-03-04T15:59:47.061469,2022-03-04T15:59:47.061,,VISA CLASSIC,IN,45467966199999999999,visa,45467966100000000000,,R,debit,203,
fb423683-e55b-4ce4-b2c6-6ef3de1b0873,1013,0,2022-03-04T15:59:51.166273,2022-03-04T15:59:51.166,THE FEDERAL BANK LTD,VISA BUSINESS,IN,46113401099999999999,visa,46113401000000000000,,R,debit,203,
0b42eaf0-0294-42e4-a7c9-216fa1a08642,1876,1,2022-03-04T15:59:39.845517,2022-04-25T08:10:53.309,THE FEDERAL BANK LTD,VISA CLASSIC,IN,40483451099999999999,visa,40483450000000000000,,R,debit,203,
